Text	Pronoun	Pronoun-offset	A	A-offset
Gary Hoffman , a Washington lawyer specializing in intellectual-property cases , said the threat of U.S. retaliation , combined with a growing recognition that protecting intellectual property is in a country 's own interest , prompted the improvements made by South Korea , Taiwan and Saudi Arabia . He said Mexico could be one of the next countries to be removed from the priority list because of its efforts to craft a new patent law .	He	1	Gary Hoffman	1
Gary Hoffman , a Washington lawyer specializing in intellectual-property cases , said the threat of U.S. retaliation , combined with a growing recognition that protecting intellectual property is in a country 's own interest , prompted the improvements made by South Korea , Taiwan and Saudi Arabia . `` What this tells us is that U.S. trade law is working , '' he said .	he	15	Gary Hoffman	1
Mrs. Hills said that the U.S. is still concerned about `` disturbing developments in Turkey and continuing slow progress in Malaysia . '' She did n't elaborate , although earlier U.S. trade reports have complained of videocassette piracy in Malaysia and disregard for U.S. pharmaceutical patents in Turkey .	She	1	Hills	2
`` Argentina aspires to reach a reduction of 50 % in the value of its external debt , '' Mr. Rapanelli said through his spokesman , Miguel Alurralde .	his	24	Rapanelli	21
Mr. Rapanelli recently has said the government of President Carlos Menem , who took office July 8 , feels a significant reduction of principal and interest is the only way the debt problem may be solved . But he has not said before that the country wants half the debt forgiven .	he	2	Rapanelli	2
Analysts said Mr. Stronach wants to resume a more influential role in running the company . They expect him to cut costs throughout the organization .	him	3	Stronach	4
Magna said Mr. McAlpine resigned to pursue a consulting career , with Magna as one of his clients .	his	17	McAlpine	4
The purchases show the strong interest of Japanese investors in U.S. mortgage-based instruments , Fannie Mae 's chairman , David O. Maxwell , said at a news conference . He said more than 90 % of the funds were placed with Japanese institutional investors .	He	1	David O. Maxwell	20
Kenneth Mayland , economist for Society Corp. , a Cleveland bank , said demand for exports of factory goods is beginning to taper off . `` What sector is stepping forward to pick up the slack ? '' he asked .	he	14	Kenneth Mayland	1
Although the purchasing managers ' index continues to indicate a slowing economy , it is n't signaling an imminent recession , said Robert Bretz , chairman of the association 's survey committee and director of materials management at Pitney Bowes Inc. , Stamford , Conn . He said the index would have to be in the low 40 % range for several months to be considered a forecast of recession .	He	1	Robert Bretz	23
`` It 's an odd thing to put on the list , '' Mr. Bretz noted . He said that for the second month in a row , food processors reported a shortage of nonfat dry milk .	He	1	Bretz	15
A disaffected , hard-drinking , nearly-30 hero sets off for snow country in search of an elusive sheep with a star on its back at the behest of a sinister , erudite mobster with a Stanford degree . Along the way , he meets a solicitous Christian chauffeur who offers the hero God 's phone number ; and the Sheep Man , a sweet , roughhewn figure who wears -- what else -- a sheepskin .	he	5	A disaffected , hard-drinking , nearly-30 hero	1
A disaffected , hard-drinking , nearly-30 hero sets off for snow country in search of an elusive sheep with a star on its back at the behest of a sinister , erudite mobster with a Stanford degree . He has in tow his prescient girlfriend , whose sassy retorts mark her as anything but a docile butterfly .	his	5	A disaffected , hard-drinking , nearly-30 hero	1
A disaffected , hard-drinking , nearly-30 hero sets off for snow country in search of an elusive sheep with a star on its back at the behest of a sinister , erudite mobster with a Stanford degree . He has in tow his prescient girlfriend , whose sassy retorts mark her as anything but a docile butterfly .	He	1	A disaffected , hard-drinking , nearly-30 hero	1
He has in tow his prescient girlfriend , whose sassy retorts mark her as anything but a docile butterfly .	her	13	his prescient girlfriend , whose sassy retorts mark her as anything but a docile butterfly	5
The 40-year-old Mr. Murakami is a publishing sensation in Japan . But he is just one of several youthful writers -- Tokyo 's brat pack -- who are dominating the best-seller charts in Japan .	he	2	Murakami	4
A player 's commitment to practice and team image is as important as his batting average .	his	14	A player	1
It 's the petulant complaint of an impudent American whom Sony hosted for a year while he was on a Luce Fellowship in Tokyo -- to the regret of both parties .	he	17	an impudent American whom Sony hosted for a year while he was on a Luce Fellowship in Tokyo -- to the regret of both parties	7
In sometimes amusing , more often supercilious , even vicious passages , Mr. Katzenstein describes how Sony invades even the most mundane aspects of its workers ' lives -- at the regimented office , where employees are assigned lunch partners -- and at `` home '' in the austere company dormitory run by a prying caretaker . Some of his observations about Japanese management style are on the mark .	his	3	Katzenstein	14
But Sony ultimately took a lesson from the American management books and fired Mr. Katzenstein , after he committed the social crime of making an appointment to see the venerable Akio Morita , founder of Sony .	he	18	Katzenstein	15
Yasser Arafat has written to the chairman of the International Olympic Committee asking him to back a Palestinian bid to join the committee , the Palestine Liberation Organization news agency WAFA said .	him	14	the chairman of the International Olympic Committee	6
Steve Martin has already laid his claim to that .	his	6	Steve Martin	1
Now , 13 years later , Mr. Lane has revived his Artist in a full-length movie called `` Sidewalk Stories , '' a poignant piece of work about a modern-day tramp .	his	11	Lane	8
Composer Marc Marder , a college friend of Mr. Lane 's who earns his living playing the double bass in classical music ensembles , has prepared an exciting , eclectic score that tells you what the characters are thinking and feeling far more precisely than intertitles , or even words , would .	his	14	Marc Marder	2
The Artist has his routine . He is his own man .	his	3	The Artist	1
The Artist has his routine . He is his own man .	He	1	The Artist	1
The Artist has his routine . His life , including his skirmishes with a competing sketch artist , seems carefree .	his	5	The Artist	1
The Artist has his routine . His life , including his skirmishes with a competing sketch artist , seems carefree .	His	1	The Artist	1
The Artist has his routine . At night he returns to the condemned building he calls home .	he	9	The Artist	1
The Artist has his routine . At night he returns to the condemned building he calls home .	he	3	The Artist	1
The Artist has his routine . He spends his days sketching passers-by , or trying to .	his	3	The Artist	1
The Artist has his routine . He spends his days sketching passers-by , or trying to .	He	1	The Artist	1
The Artist has his routine .	his	4	The Artist	1
Then , just as the Tramp is given a blind girl to cure in `` City Lights , '' the Artist is put in charge of returning a two-year-old waif -LRB- Nicole Alysia -RRB- , whose father has been murdered by thugs , to her mother .	her	45	a two-year-old waif	28
This cute child turns out to be a blessing and a curse . She gives the Artist a sense of purpose , but also alerts him to the serious inadequacy of his vagrant life .	She	1	This cute child	1
She gives the Artist a sense of purpose , but also alerts him to the serious inadequacy of his vagrant life . The beds at the Bowery Mission seem far drearier when he has to tuck a little girl into one of them at night .	he	11	the Artist	3
She gives the Artist a sense of purpose , but also alerts him to the serious inadequacy of his vagrant life .	his	19	the Artist	3
She gives the Artist a sense of purpose , but also alerts him to the serious inadequacy of his vagrant life .	him	13	the Artist	3
To further load the stakes , Mr. Lane dreamed up a highly improbable romance for the Artist , with a young woman who owns her own children 's shop and who lives in an expensive high-rise apartment building .	her	25	a young woman who owns her own children 's shop and who lives in an expensive high-rise apartment building	20
This story line might resonate more strongly if Mr. Lane had as strong a presence in front of the camera as he does behind it .	he	22	Lane	10
Mr. Lane 's final purpose is n't to glamorize the Artist 's vagabond existence . He has a point he wants to make , and he makes it , with a great deal of force .	he	11	Lane	2
Mr. Lane 's final purpose is n't to glamorize the Artist 's vagabond existence . He has a point he wants to make , and he makes it , with a great deal of force .	he	5	Lane	2
Mr. Lane 's final purpose is n't to glamorize the Artist 's vagabond existence . He has a point he wants to make , and he makes it , with a great deal of force .	He	1	Lane	2
The French film maker Claude Chabrol has managed another kind of weird achievement with his `` Story of Women . '' He has made a harsh , brilliant picture -- one that 's captivating -- about a character who , viewed from the most sympathetic angle , would seem disagreeable .	He	1	Claude Chabrol	5
The French film maker Claude Chabrol has managed another kind of weird achievement with his `` Story of Women . ''	his	15	Claude Chabrol	5
Marie-Louise , a small-time abortionist , was their woman . Although she was kind and playful to her children , she was dreadful to her war-damaged husband ; she openly brought her lover into their home .	her	22	Marie-Louise	1
Marie-Louise , a small-time abortionist , was their woman . Although she was kind and playful to her children , she was dreadful to her war-damaged husband ; she openly brought her lover into their home .	she	19	Marie-Louise	1
Marie-Louise , a small-time abortionist , was their woman . Although she was kind and playful to her children , she was dreadful to her war-damaged husband ; she openly brought her lover into their home .	her	15	Marie-Louise	1
Marie-Louise , a small-time abortionist , was their woman . Although she was kind and playful to her children , she was dreadful to her war-damaged husband ; she openly brought her lover into their home .	she	11	Marie-Louise	1
Marie-Louise , a small-time abortionist , was their woman . Although she was kind and playful to her children , she was dreadful to her war-damaged husband ; she openly brought her lover into their home .	her	8	Marie-Louise	1
Marie-Louise , a small-time abortionist , was their woman . Although she was kind and playful to her children , she was dreadful to her war-damaged husband ; she openly brought her lover into their home .	she	2	Marie-Louise	1
Marie-Louise , a small-time abortionist , was their woman . Her remorse was shallow and brief .	Her	1	Marie-Louise	1
Marie-Louise , a small-time abortionist , was their woman . She was untrained and , in one botched job killed a client .	She	1	Marie-Louise	1
Marie-Louise , a small-time abortionist , was their woman . She became an abortionist accidentally , and continued because it enabled her to buy jam , cocoa and other war-rationed goodies .	her	12	Marie-Louise	1
Marie-Louise , a small-time abortionist , was their woman . She became an abortionist accidentally , and continued because it enabled her to buy jam , cocoa and other war-rationed goodies .	She	1	Marie-Louise	1
As presented by Mr. Chabrol , and played with thin-lipped intensity by Isabelle Huppert , Marie-Louise -LRB- called Marie Latour in the film -RRB- was not a nice person . But she did n't deserve to have her head chopped off .	her	8	Marie-Louise	16
As presented by Mr. Chabrol , and played with thin-lipped intensity by Isabelle Huppert , Marie-Louise -LRB- called Marie Latour in the film -RRB- was not a nice person . But she did n't deserve to have her head chopped off .	she	2	Marie-Louise	16
I mention the picture only because many bad movies have a bright spot , and this one has Gregory Peck , in a marvelously loose and energetic portrayal of an old man who wants to die the way he wants to die .	he	39	an old man who wants to die the way he wants to die	30
Video Tip : Before seeing `` Sidewalk Stories , '' take a look at `` City Lights , '' Chaplin 's Tramp at his finest .	his	24	Tramp	22
`` David Dinkins failed to file his income taxes for four straight years , '' says a disembodied male voice .	his	7	David Dinkins	2
Mr. Dinkins , the ad charges , also failed to report his campaign contributions accurately , hid his links to a failing insurance company and paid a convicted kidnapper `` through a phony organization with no members , no receipts and no office . ''	his	18	Dinkins	2
Mr. Dinkins , the ad charges , also failed to report his campaign contributions accurately , hid his links to a failing insurance company and paid a convicted kidnapper `` through a phony organization with no members , no receipts and no office . ''	his	12	Dinkins	2
`` David Dinkins , '' says the kicker , `` Why does he always wait until he 's caught ? ''	he	17	David Dinkins	2
`` David Dinkins , '' says the kicker , `` Why does he always wait until he 's caught ? ''	he	13	David Dinkins	2
`` One says he 's for banning cop-killer bullets .	he	4	One	2
One claims he 's pro-choice .	he	3	One	1
Mr. Dinkins did fail to file his income taxes for four years , but he insists he voluntarily admitted the `` oversight '' when he was being considered for a city job . He was on the board of an insurance company with financial problems , but he insists he made no secret of it .	he	17	Dinkins	2
Mr. Dinkins did fail to file his income taxes for four years , but he insists he voluntarily admitted the `` oversight '' when he was being considered for a city job . He was on the board of an insurance company with financial problems , but he insists he made no secret of it .	he	15	Dinkins	2
Mr. Dinkins did fail to file his income taxes for four years , but he insists he voluntarily admitted the `` oversight '' when he was being considered for a city job . He was on the board of an insurance company with financial problems , but he insists he made no secret of it .	He	1	Dinkins	2
Mr. Dinkins did fail to file his income taxes for four years , but he insists he voluntarily admitted the `` oversight '' when he was being considered for a city job .	he	25	Dinkins	2
Mr. Dinkins did fail to file his income taxes for four years , but he insists he voluntarily admitted the `` oversight '' when he was being considered for a city job .	he	17	Dinkins	2
Mr. Dinkins did fail to file his income taxes for four years , but he insists he voluntarily admitted the `` oversight '' when he was being considered for a city job .	he	15	Dinkins	2
Mr. Dinkins did fail to file his income taxes for four years , but he insists he voluntarily admitted the `` oversight '' when he was being considered for a city job .	his	7	Dinkins	2
The city 's Campaign Finance Board has refused to pay Mr. Dinkins $ 95,142 in matching funds because his campaign records are incomplete .	his	19	Dinkins	12
And , says Mr. Dinkins , he did n't know the man his campaign paid for a get-out-the-vote effort had been convicted of kidnapping .	his	13	Dinkins	5
And , says Mr. Dinkins , he did n't know the man his campaign paid for a get-out-the-vote effort had been convicted of kidnapping .	he	7	Dinkins	5
But , say Mr. Dinkins 's managers , he did have an office and his organization did have members .	his	15	Dinkins	5
But , say Mr. Dinkins 's managers , he did have an office and his organization did have members .	he	9	Dinkins	5
Mr. Giuliani 's campaign chairman , Peter Powers , says the Dinkins ad is `` deceptive . '' The other side , he argues , `` knows Giuliani has always been pro-choice , even though he has personal reservations .	he	5	Mr. Giuliani 's campaign chairman	1
The other side , he argues , `` knows Giuliani has always been pro-choice , even though he has personal reservations . They know he is generally opposed to cop-killer bullets , but that he had some reservations about the language in the legislation . ''	he	13	Giuliani	10
The other side , he argues , `` knows Giuliani has always been pro-choice , even though he has personal reservations . They know he is generally opposed to cop-killer bullets , but that he had some reservations about the language in the legislation . ''	he	3	Giuliani	10
The other side , he argues , `` knows Giuliani has always been pro-choice , even though he has personal reservations .	he	18	Giuliani	10
Democratic Lt. Gov. Douglas Wilder opened his gubernatorial battle with Republican Marshall Coleman with an abortion commercial produced by Frank Greer that analysts of every political persuasion agree was a tour de force .	his	7	Douglas Wilder	4
The Coleman counterattack featured a close-up of a young woman in shadows and the ad suggested that she was recalling an unpleasant courtroom ordeal .	she	18	a young woman in shadows	8
So the next time Mr. Wilder talks about the rights of women , ask him about this law he tried to pass . ''	he	19	Wilder	6
So the next time Mr. Wilder talks about the rights of women , ask him about this law he tried to pass . ''	him	15	Wilder	6
Mr. Wilder did introduce such legislation 17 years ago , but he did so at the request of a constituent , a common legislative technique used by lawmakers .	he	12	Wilder	2
Mr. Coleman said this week that he would devote the remainder of the political season to positive campaigning , but the truce lasted only hours .	he	7	Coleman	2
`` Consider Jim Courter . '' Pictures of rusted oil drums swim into focus , and the female voice purrs , `` That hazardous waste on his -LCB- Mr. Courter 's -RCB- property -- the neighbors are suing for consumer fraud . ''	his	21	Jim Courter	3
Cathryn Rice could hardly believe her eyes . She had seen cheating before , but these notes were uncanny .	She	1	Cathryn Rice	1
Cathryn Rice could hardly believe her eyes . While giving the Comprehensive Test of Basic Skills to ninth graders at Greenville High School last March 16 , she spotted a student looking at crib sheets .	she	20	Cathryn Rice	1
Cathryn Rice could hardly believe her eyes .	her	6	Cathryn Rice	1
The student surrendered the notes , but not without a protest . `` My teacher said it was OK for me to use the notes on the test , '' he said .	he	19	The student	1
Confronted , Mrs. Yeargin admitted she had given the questions and answers two days before the examination to two low-ability geography classes . She had gone so far as to display the questions on an overhead projector and underline the answers .	She	1	Yeargin	4
Confronted , Mrs. Yeargin admitted she had given the questions and answers two days before the examination to two low-ability geography classes .	she	6	Yeargin	4
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	she	61	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	her	58	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	she	42	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	her	39	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	she	28	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	her	20	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	her	15	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	she	4	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	her	2	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . She was an unstinting teacher who won laurels and inspired students , but she will probably never teach again .	she	14	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . She was an unstinting teacher who won laurels and inspired students , but she will probably never teach again .	She	1	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . Her story is partly one of personal downfall .	Her	1	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . Her alternative was 90 days in jail .	Her	1	Yeargin	2
Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In September , she pleaded guilty and paid a $ 500 fine .	she	4	Yeargin	2
The 1987 statute Mrs. Yeargin violated was designed to enforce provisions of South Carolina 's school-improvement laws . The bonus depended on her ability to produce higher student-test scores .	her	5	Yeargin	5
The 1987 statute Mrs. Yeargin violated was designed to enforce provisions of South Carolina 's school-improvement laws . Prosecutors alleged that she was trying to bolster students ' scores to win a bonus under the state 's 1984 Education Improvement Act .	she	4	Yeargin	5
Paul Sandifer , director of testing for the South Carolina department of education , says Mr. Cannell 's allegations of cheating `` are purely without foundation , '' and based on unfair inferences . Partly because of worries about potential abuse , however , he says the state will begin keeping closer track of achievement-test preparation booklets next spring .	he	11	Paul Sandifer	1
Mrs. Ward took over in 1986 , becoming the school 's seventh principal in 15 years . Her immediate predecessor suffered a nervous breakdown .	Her	1	Ward	2
Her immediate predecessor suffered a nervous breakdown . Prior to his term , a teacher bled to death in the halls , stabbed by a student .	his	3	Her immediate predecessor	1
Mrs. Ward resolved to clean out `` deadwood '' in the school 's faculty and restore safety , and she also had some new factors working in her behalf .	her	28	Ward	2
Mrs. Ward resolved to clean out `` deadwood '' in the school 's faculty and restore safety , and she also had some new factors working in her behalf .	she	20	Ward	2
`` Being a teacher just became my life , '' says the 37-year-old Mrs. Yeargin , a teacher for 12 years before her dismissal . ``	her	23	Yeargin	15
While Mrs. Ward fired and restructured staff and struggled to improve curriculum , Mrs. Yeargin worked 14-hour days and fast became a student favorite . In 1986-87 and 1987-88 , she applied for and won bonus pay under the reform law .	she	6	Yeargin	15
Encouraged by Mrs. Ward , Mrs. Yeargin taught honor students in the state `` teacher cadet '' program , a reform creation designed to encourage good students to consider teaching as a career . `` She was an inspirational lady ; she had it all together , '' says Laura Dobson , a freshman at the University of South Carolina who had Mrs. Yeargin in the teacher-cadet class last year .	she	8	Yeargin	7
Encouraged by Mrs. Ward , Mrs. Yeargin taught honor students in the state `` teacher cadet '' program , a reform creation designed to encourage good students to consider teaching as a career . `` She was an inspirational lady ; she had it all together , '' says Laura Dobson , a freshman at the University of South Carolina who had Mrs. Yeargin in the teacher-cadet class last year .	She	2	Yeargin	7
Encouraged by Mrs. Ward , Mrs. Yeargin taught honor students in the state `` teacher cadet '' program , a reform creation designed to encourage good students to consider teaching as a career . She won grant money for the school , advised cheerleaders , ran the pep club , proposed and taught a new `` Cultural Literacy '' class in Western Civilization and was chosen by the school PTA as `` Teacher of the Year . ''	She	1	Yeargin	7
`` She was an inspirational lady ; she had it all together , '' says Laura Dobson , a freshman at the University of South Carolina who had Mrs. Yeargin in the teacher-cadet class last year . She says that because of Mrs. Yeargin she gave up ambitions in architecture and is studying to become a teacher .	she	8	Laura Dobson	16
`` She was an inspirational lady ; she had it all together , '' says Laura Dobson , a freshman at the University of South Carolina who had Mrs. Yeargin in the teacher-cadet class last year . She says that because of Mrs. Yeargin she gave up ambitions in architecture and is studying to become a teacher .	She	1	Laura Dobson	16
Mary Beth Marchand , a Greenville 11th grader , also says Mrs. Yeargin inspired her to go into education .	her	15	Mary Beth Marchand	1
Mary Beth Marchand , a Greenville 11th grader , also says Mrs. Yeargin inspired her to go into education . `` She taught us more in Western Civilization than I 've ever learned in other classes , '' says Kelli Green , a Greenville senior .	She	2	Yeargin	13
In the classroom , students say , Mrs. Yeargin distinguished herself by varying teaching approaches -- forcing kids to pair up to complete classroom work or using college-bowl type competitions . `` You 'd see her correcting homework in the stands at a football game . ''	her	5	Yeargin	9
In the classroom , students say , Mrs. Yeargin distinguished herself by varying teaching approaches -- forcing kids to pair up to complete classroom work or using college-bowl type competitions . `` She just never gave it up , '' says Mary Marchand , Mary Beth 's mother .	She	2	Yeargin	9
In the classroom , students say , Mrs. Yeargin distinguished herself by varying teaching approaches -- forcing kids to pair up to complete classroom work or using college-bowl type competitions . On weekends , she came to work to prepare study plans or sometimes , even to polish the furniture in her classroom .	her	21	Yeargin	9
In the classroom , students say , Mrs. Yeargin distinguished herself by varying teaching approaches -- forcing kids to pair up to complete classroom work or using college-bowl type competitions . On weekends , she came to work to prepare study plans or sometimes , even to polish the furniture in her classroom .	she	4	Yeargin	9
Some fellow teachers , however , viewed Mrs. Yeargin as cocky and too yielding to students . Because of deteriorating hearing , she told colleagues she feared she might not be able to teach much longer .	she	11	Yeargin	9
Some fellow teachers , however , viewed Mrs. Yeargin as cocky and too yielding to students . Because of deteriorating hearing , she told colleagues she feared she might not be able to teach much longer .	she	9	Yeargin	9
Some fellow teachers , however , viewed Mrs. Yeargin as cocky and too yielding to students . Because of deteriorating hearing , she told colleagues she feared she might not be able to teach much longer .	she	6	Yeargin	9
Some fellow teachers , however , viewed Mrs. Yeargin as cocky and too yielding to students . Friends told her she was pushing too hard .	she	4	Yeargin	9
Some fellow teachers , however , viewed Mrs. Yeargin as cocky and too yielding to students . Friends told her she was pushing too hard .	her	3	Yeargin	9
Some fellow teachers , however , viewed Mrs. Yeargin as cocky and too yielding to students . Mrs. Ward says she often defended her to colleagues who called her a grandstander .	her	12	Yeargin	9
Some fellow teachers , however , viewed Mrs. Yeargin as cocky and too yielding to students . Mrs. Ward says she often defended her to colleagues who called her a grandstander .	her	7	Yeargin	9
Mrs. Ward says she often defended her to colleagues who called her a grandstander .	she	4	Ward	2
Mrs. Yeargin 's extra work was also helping her earn points in the state 's incentive-bonus program . Winning a bonus for a third year was n't that important to her , Mrs. Yeargin insists .	her	13	Yeargin	2
Mrs. Yeargin 's extra work was also helping her earn points in the state 's incentive-bonus program . Huge gains by her students in 1987 and 1988 meant a total of $ 5,000 in bonuses over two years -- a meaningful addition to her annual salary of $ 23,000 .	her	26	Yeargin	2
Mrs. Yeargin 's extra work was also helping her earn points in the state 's incentive-bonus program . Huge gains by her students in 1987 and 1988 meant a total of $ 5,000 in bonuses over two years -- a meaningful addition to her annual salary of $ 23,000 .	her	4	Yeargin	2
Mrs. Yeargin 's extra work was also helping her earn points in the state 's incentive-bonus program .	her	9	Yeargin	2
Winning a bonus for a third year was n't that important to her , Mrs. Yeargin insists . But others at Greenville High say she was eager to win -- if not for money , then for pride and recognition .	she	7	Yeargin	16
