ID	Text	Pronoun	Pronoun-offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
bnn17	Now , 13 years later , Mr. Lane has revived his Artist in a full-length movie called `` Sidewalk Stories , '' a poignant piece of work about a modern-day tramp .	his	44	Lane	27	TRUE	Sidewalk Stories	88	FALSE	unk
bnn18	Mr. Lane 's final purpose is n't to glamorize the Artist 's vagabond existence . He has a point he wants to make , and he makes it , with a great deal of force .	he	119	Lane	4	TRUE	Artist	50	FALSE	unk
bnn19	Mr. Lane 's final purpose is n't to glamorize the Artist 's vagabond existence . He has a point he wants to make , and he makes it , with a great deal of force .	he	96	Lane	4	TRUE	Artist	50	FALSE	unk
bnn20	Mr. Lane 's final purpose is n't to glamorize the Artist 's vagabond existence . He has a point he wants to make , and he makes it , with a great deal of force .	He	81	Lane	4	TRUE	Artist	50	FALSE	unk
bnn21	As presented by Mr. Chabrol , and played with thin-lipped intensity by Isabelle Huppert , Marie-Louise -LRB- called Marie Latour in the film -RRB- was not a nice person . But she did n't deserve to have her head chopped off .	her	203	Marie-Louise	90	TRUE	-RRB-	141	FALSE	unk
bnn22	As presented by Mr. Chabrol , and played with thin-lipped intensity by Isabelle Huppert , Marie-Louise -LRB- called Marie Latour in the film -RRB- was not a nice person . But she did n't deserve to have her head chopped off .	she	175	Isabelle Huppert	71	FALSE	Marie-Louise	90	TRUE	unk
bnn23	Video Tip : Before seeing `` Sidewalk Stories , '' take a look at `` City Lights , '' Chaplin 's Tramp at his finest .	his	106	Video Tip	0	FALSE	Tramp	97	TRUE	unk
bnn24	The city 's Campaign Finance Board has refused to pay Mr. Dinkins $ 95,142 in matching funds because his campaign records are incomplete .	his	101	Campaign Finance Board	12	FALSE	Dinkins	58	TRUE	unk
bnn25	Confronted , Mrs. Yeargin admitted she had given the questions and answers two days before the examination to two low-ability geography classes . She had gone so far as to display the questions on an overhead projector and underline the answers .	She	146	Confronted	0	FALSE	Yeargin	18	TRUE	unk
bnn26	Confronted , Mrs. Yeargin admitted she had given the questions and answers two days before the examination to two low-ability geography classes .	she	35	Confronted	0	FALSE	Yeargin	18	TRUE	unk
bnn27	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	she	451	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn28	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	her	437	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn29	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	she	332	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn30	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	her	317	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn31	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	she	255	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn32	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	her	216	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn33	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	her	191	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn34	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	she	134	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn35	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In her wake she left the bitterness and anger of a principal who was her friend and now calls her a betrayer ; of colleagues who say she brought them shame ; of students and parents who defended her and insist she was treated harshly ; and of school-district officials stunned that despite the bald-faced nature of her actions , she became something of a local martyr .	her	125	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn36	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . She was an unstinting teacher who won laurels and inspired students , but she will probably never teach again .	she	196	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn37	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . She was an unstinting teacher who won laurels and inspired students , but she will probably never teach again .	She	122	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn38	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . Her story is partly one of personal downfall .	Her	122	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn39	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . Her alternative was 90 days in jail .	Her	122	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn40	Mrs. Yeargin was fired and prosecuted under an unusual South Carolina law that makes it a crime to breach test security . In September , she pleaded guilty and paid a $ 500 fine .	she	137	Yeargin	5	TRUE	South Carolina	55	FALSE	unk
bnn41	The 1987 statute Mrs. Yeargin violated was designed to enforce provisions of South Carolina 's school-improvement laws . The bonus depended on her ability to produce higher student-test scores .	her	143	Yeargin	22	TRUE	South Carolina	77	FALSE	unk
bnn42	The 1987 statute Mrs. Yeargin violated was designed to enforce provisions of South Carolina 's school-improvement laws . Prosecutors alleged that she was trying to bolster students ' scores to win a bonus under the state 's 1984 Education Improvement Act .	she	146	Yeargin	22	TRUE	Education Improvement Act	229	FALSE	unk
bnn43	While Mrs. Ward fired and restructured staff and struggled to improve curriculum , Mrs. Yeargin worked 14-hour days and fast became a student favorite . In 1986-87 and 1987-88 , she applied for and won bonus pay under the reform law .	she	178	Mrs. Ward	6	FALSE	Yeargin	88	TRUE	unk
bnn44	Encouraged by Mrs. Ward , Mrs. Yeargin taught honor students in the state `` teacher cadet '' program , a reform creation designed to encourage good students to consider teaching as a career . `` She was an inspirational lady ; she had it all together , '' says Laura Dobson , a freshman at the University of South Carolina who had Mrs. Yeargin in the teacher-cadet class last year .	she	228	Yeargin	31	TRUE	South Carolina	309	FALSE	unk
bnn45	Encouraged by Mrs. Ward , Mrs. Yeargin taught honor students in the state `` teacher cadet '' program , a reform creation designed to encourage good students to consider teaching as a career . `` She was an inspirational lady ; she had it all together , '' says Laura Dobson , a freshman at the University of South Carolina who had Mrs. Yeargin in the teacher-cadet class last year .	She	196	Yeargin	31	TRUE	Laura Dobson	262	FALSE	unk
bnn46	Encouraged by Mrs. Ward , Mrs. Yeargin taught honor students in the state `` teacher cadet '' program , a reform creation designed to encourage good students to consider teaching as a career . She won grant money for the school , advised cheerleaders , ran the pep club , proposed and taught a new `` Cultural Literacy '' class in Western Civilization and was chosen by the school PTA as `` Teacher of the Year . ''	She	193	Yeargin	31	TRUE	Civilization	339	FALSE	unk
bnn47	Mary Beth Marchand , a Greenville 11th grader , also says Mrs. Yeargin inspired her to go into education . `` She taught us more in Western Civilization than I 've ever learned in other classes , '' says Kelli Green , a Greenville senior .	She	110	Greenville	23	FALSE	Yeargin	63	TRUE	unk
bnn48	In the classroom , students say , Mrs. Yeargin distinguished herself by varying teaching approaches -- forcing kids to pair up to complete classroom work or using college-bowl type competitions . `` She just never gave it up , '' says Mary Marchand , Mary Beth 's mother .	She	199	Yeargin	39	TRUE	Mary Marchand	235	FALSE	unk
bnn49	Some fellow teachers , however , viewed Mrs. Yeargin as cocky and too yielding to students . Mrs. Ward says she often defended her to colleagues who called her a grandstander .	her	156	Yeargin	45	TRUE	Mrs. Ward	93	FALSE	unk
bnn50	Some fellow teachers , however , viewed Mrs. Yeargin as cocky and too yielding to students . Mrs. Ward says she often defended her to colleagues who called her a grandstander .	her	127	Yeargin	45	TRUE	Mrs. Ward	93	FALSE	unk
bnn51	Mrs. Yeargin 's extra work was also helping her earn points in the state 's incentive-bonus program . Huge gains by her students in 1987 and 1988 meant a total of $ 5,000 in bonuses over two years -- a meaningful addition to her annual salary of $ 23,000 .	her	225	Yeargin	5	TRUE	Huge	102	FALSE	unk
bnn52	Mrs. Yeargin 's extra work was also helping her earn points in the state 's incentive-bonus program . Huge gains by her students in 1987 and 1988 meant a total of $ 5,000 in bonuses over two years -- a meaningful addition to her annual salary of $ 23,000 .	her	116	Yeargin	5	TRUE	Huge	102	FALSE	unk
bnn53	Winning a bonus for a third year was n't that important to her , Mrs. Yeargin insists . But others at Greenville High say she was eager to win -- if not for money , then for pride and recognition .	she	122	Yeargin	70	TRUE	Greenville High	102	FALSE	unk
bnn54	Mary Elizabeth Ariail , another social-studies teacher , says she believed Mrs. Yeargin wanted to keep her standing high so she could get a new job that would n't demand good hearing .	she	124	Mary Elizabeth Ariail	0	FALSE	Yeargin	80	TRUE	unk
bnn55	Mary Elizabeth Ariail , another social-studies teacher , says she believed Mrs. Yeargin wanted to keep her standing high so she could get a new job that would n't demand good hearing .	her	103	Mary Elizabeth Ariail	0	FALSE	Yeargin	80	TRUE	unk
bnn56	Last March , after attending a teaching seminar in Washington , Mrs. Yeargin says she returned to Greenville two days before annual testing feeling that she had n't prepared her low-ability geography students adequately . When test booklets were passed out 48 hours ahead of time , she says she copied questions in the social studies section and gave the answers to students .	she	82	Yeargin	69	TRUE	Greenville	98	FALSE	unk
bnn57	Last March , after attending a teaching seminar in Washington , Mrs. Yeargin says she returned to Greenville two days before annual testing feeling that she had n't prepared her low-ability geography students adequately . When test booklets were passed out 48 hours ahead of time , she says she copied questions in the social studies section and gave the answers to students .	she	282	Washington	51	FALSE	Yeargin	69	TRUE	unk
bnn58	Last March , after attending a teaching seminar in Washington , Mrs. Yeargin says she returned to Greenville two days before annual testing feeling that she had n't prepared her low-ability geography students adequately .	her	174	Yeargin	69	TRUE	Greenville	98	FALSE	unk
bnn59	Last March , after attending a teaching seminar in Washington , Mrs. Yeargin says she returned to Greenville two days before annual testing feeling that she had n't prepared her low-ability geography students adequately .	she	153	Yeargin	69	TRUE	Greenville	98	FALSE	unk
bnn60	Last March , after attending a teaching seminar in Washington , Mrs. Yeargin says she returned to Greenville two days before annual testing feeling that she had n't prepared her low-ability geography students adequately .	she	82	Washington	51	FALSE	Yeargin	69	TRUE	unk
bnn61	Mrs. Yeargin says that she also wanted to help lift Greenville High School 's overall test scores , usually near the bottom of 14 district high schools in rankings carried annually by local newspapers . `` These kids broke my heart , '' she says .	she	237	Yeargin	5	TRUE	Greenville High School	52	FALSE	unk
bnn62	Mrs. Yeargin says that she also wanted to help lift Greenville High School 's overall test scores , usually near the bottom of 14 district high schools in rankings carried annually by local newspapers . Mostly , she says , she wanted to prevent the damage to self-esteem that her low-ability students would suffer from doing badly on the test .	her	276	Yeargin	5	TRUE	Greenville High School	52	FALSE	unk
bnn63	Mrs. Yeargin says that she also wanted to help lift Greenville High School 's overall test scores , usually near the bottom of 14 district high schools in rankings carried annually by local newspapers . Mostly , she says , she wanted to prevent the damage to self-esteem that her low-ability students would suffer from doing badly on the test .	she	223	Yeargin	5	TRUE	Greenville High School	52	FALSE	unk
bnn64	Mrs. Yeargin says that she also wanted to help lift Greenville High School 's overall test scores , usually near the bottom of 14 district high schools in rankings carried annually by local newspapers . Mostly , she says , she wanted to prevent the damage to self-esteem that her low-ability students would suffer from doing badly on the test .	she	212	Yeargin	5	TRUE	Greenville High School	52	FALSE	unk
bnn65	Mrs. Yeargin says that she also wanted to help lift Greenville High School 's overall test scores , usually near the bottom of 14 district high schools in rankings carried annually by local newspapers .	she	23	Yeargin	5	TRUE	Greenville High School	52	FALSE	unk
bnn66	School officials and prosecutors say Mrs. Yeargin is lying . `` That pretty much defeats any inkling that she was out to help the poor underprivileged child , '' says Joe Watson , the prosecutor in the case , who is also president of Greenville High School 's alumni association .	she	106	Yeargin	42	TRUE	Greenville High School	234	FALSE	unk
bnn67	School officials and prosecutors say Mrs. Yeargin is lying . They found students in an advanced class a year earlier who said she gave them similar help , although because the case was n't tried in court , this evidence was never presented publicly .	she	126	School	0	FALSE	Yeargin	42	TRUE	unk
bnn68	Mr. Watson says Mrs. Yeargin never complained to school officials that the standardized test was unfair . What she did was like taking the law into your own hands . ''	she	111	Mr. Watson	0	FALSE	Yeargin	21	TRUE	unk
bnn69	Mr. Watson says Mrs. Yeargin never complained to school officials that the standardized test was unfair . `` Do I have much sympathy for her ? '' Mr. Watson asks .	her	137	Mr. Watson	0	FALSE	Yeargin	21	TRUE	unk
bnn70	Mrs. Ward says that when the cheating was discovered , she wanted to avoid the morale-damaging public disclosure that a trial would bring . She says she offered Mrs. Yeargin a quiet resignation and thought she could help save her teaching certificate .	she	206	Ward	5	TRUE	Mrs. Yeargin	161	FALSE	unk
bnn71	Mrs. Ward says that when the cheating was discovered , she wanted to avoid the morale-damaging public disclosure that a trial would bring . She says she offered Mrs. Yeargin a quiet resignation and thought she could help save her teaching certificate .	she	149	Ward	5	TRUE	Mrs. Yeargin	161	FALSE	unk
bnn72	Mrs. Ward says that when the cheating was discovered , she wanted to avoid the morale-damaging public disclosure that a trial would bring . She says she offered Mrs. Yeargin a quiet resignation and thought she could help save her teaching certificate .	She	140	Ward	5	TRUE	Mrs. Yeargin	161	FALSE	unk
bnn73	Partly because of the show , Mr. Watson says , the district decided not to recommend Mrs. Yeargin for a first-time offenders program that could have expunged the charges and the conviction from her record .	her	194	Mr. Watson	29	FALSE	Yeargin	90	TRUE	unk
bnn74	Many colleagues are angry at Mrs. Yeargin . `` She did a lot of harm , '' says Cathryn Rice , who had discovered the crib notes .	She	47	Yeargin	34	TRUE	Cathryn Rice	79	FALSE	unk
bnn75	Despite the strong evidence against Mrs. Yeargin , popular sentiment was so strong in her favor , Mrs. Ward says , that `` I 'm afraid a jury would n't have convicted her .	her	167	Yeargin	41	TRUE	Mrs. Ward	98	FALSE	unk
bnn76	Despite the strong evidence against Mrs. Yeargin , popular sentiment was so strong in her favor , Mrs. Ward says , that `` I 'm afraid a jury would n't have convicted her .	her	86	Yeargin	41	TRUE	Mrs. Ward	98	FALSE	unk
bnn77	But Dr. Genel warns that Dr. Mason 's ruling may discourage private funding . `` The unavailability of federal funds , and the climate in which the decision was made , certainly do n't provide any incentive for one of the more visible foundations to provide support , '' he said .	he	271	Genel	8	TRUE	Dr. Mason	25	FALSE	unk
bnn78	Mr. Sonnett said there also may be other circumstances under which individuals would n't want the government to know they had retained criminal defense lawyers . Filling out detailed forms about these individuals would tip the IRS off and spark action against the clients , he said .	he	274	Sonnett	4	TRUE	IRS	227	FALSE	unk
bnn79	Mr. Ross said he met with officials of the IRS and the Justice Department , which would bring any enforcement actions against taxpayers , to discuss the issue last May . At that meeting , he said , the Justice Department assured him that enforcement procedures would n't be threatened against attorneys without further review and advance notice .	him	229	Ross	4	TRUE	IRS	43	FALSE	unk
bnn80	Mr. Ross said he met with officials of the IRS and the Justice Department , which would bring any enforcement actions against taxpayers , to discuss the issue last May . At that meeting , he said , the Justice Department assured him that enforcement procedures would n't be threatened against attorneys without further review and advance notice .	he	188	Ross	4	TRUE	Justice Department	55	FALSE	unk
bnn81	Mr. Ross said he met with officials of the IRS and the Justice Department , which would bring any enforcement actions against taxpayers , to discuss the issue last May .	he	14	Ross	4	TRUE	IRS	43	FALSE	unk
bnn82	Judge Ramirez , 44 , said it is unjust for judges to make what they do . At his new job , as partner in charge of federal litigation in the Sacramento office of Orrick , Herrington & Sutcliffe , he will make out much better .	he	195	Ramirez	6	TRUE	Sutcliffe	183	FALSE	unk
bnn83	Judge Ramirez , 44 , said it is unjust for judges to make what they do . At his new job , as partner in charge of federal litigation in the Sacramento office of Orrick , Herrington & Sutcliffe , he will make out much better .	his	76	Ramirez	6	TRUE	Sutcliffe	183	FALSE	unk
bnn84	In his lawsuit , Mr. Trudeau says the strike illegally included Darkhorse , and the cartoonist refused to honor the strike against the company .	his	3	Trudeau	21	TRUE	Darkhorse	64	FALSE	unk
bnn85	But Robert R. Murray , a special master appointed by the Texas Supreme Court , said Judge Hampton did n't breach any judicial standards of fairness , although he did violate the state 's judicial code by commenting publicly on a pending case .	he	159	Robert R. Murray	4	FALSE	Hampton	90	TRUE	unk
bnn86	Mr. Yamamoto insisted that headquarters had n't approved the bids , and that he did n't know about most of the cases until Wednesday .	he	77	Yamamoto	4	TRUE	Wednesday	123	FALSE	unk
bnn87	According to Ms. Poore , Old-House Journal Corp. , her publishing company , printed and sold all 126,000 copies of the premiere issue . The first and second issues sold out on newsstands , she says , and the magazine has orders for 93,000 subscriptions .	she	189	Poore	17	TRUE	Old-House Journal Corp.	25	FALSE	unk
bnn88	According to Ms. Poore , Old-House Journal Corp. , her publishing company , printed and sold all 126,000 copies of the premiere issue .	her	51	Poore	17	TRUE	Old-House Journal Corp.	25	FALSE	unk
bnn89	Mr. Leinonen said he expects Ford to meet the deadline easily .	he	18	Leinonen	4	TRUE	Ford	29	FALSE	unk
bnn90	`` This is the peak of my wine-making experience , '' Mr. Winiarski declared when he introduced the wine at a dinner in New York , `` and I wanted to single it out as such . ''	he	82	Winiarski	58	TRUE	New York	120	FALSE	unk
bnn91	Mr. Martin has increased prices on some wines -LRB- like Grgich Hills Chardonnay , now $ 32 -RRB- just to slow down movement , but he is beginning to see some resistance to high-priced red Burgundies and Cabernets and Chardonnays in the $ 30 to $ 40 range .	he	131	Martin	4	TRUE	Chardonnays	218	FALSE	unk
bnn92	Analysts saw the latest offer as proof that Mr. Simmons , an aggressive and persistent investor , wo n't leave Georgia Gulf alone until some kind of transaction is completed . `` He appears to be in it for the long haul . ''	He	179	Simmons	48	TRUE	Georgia Gulf	111	FALSE	unk
bnn93	Analysts saw the latest offer as proof that Mr. Simmons , an aggressive and persistent investor , wo n't leave Georgia Gulf alone until some kind of transaction is completed . `` He has clamped on their ankle like a pit bull , '' says Paul Leming , a vice president with Morgan Stanley & Co .	He	179	Simmons	48	TRUE	Morgan Stanley	271	FALSE	unk
bnn94	Mr. Leming was n't surprised by the lower price cited by NL , saying he believes that $ 55 a share is `` the most you can pay for Georgia Gulf before it becomes a bad acquisition . ''	he	69	Leming	4	TRUE	Georgia Gulf	130	FALSE	unk
bnn95	Mr. Martin said they have n't yet decided what their next move would be , but he did n't rule out the possibility of a consent solicitation aimed at replacing Georgia Gulf 's board .	he	78	Martin	4	TRUE	Georgia Gulf	159	FALSE	unk
bnn96	Koito has refused to grant Mr. Pickens seats on its board , asserting he is a greenmailer trying to pressure Koito 's other shareholders into buying him out at a profit .	him	149	Koito	0	FALSE	Pickens	31	TRUE	unk
bnn97	Koito has refused to grant Mr. Pickens seats on its board , asserting he is a greenmailer trying to pressure Koito 's other shareholders into buying him out at a profit .	he	70	Koito	0	FALSE	Pickens	31	TRUE	unk
bnn98	Mr. Pickens made considerable political hay with his troubles in Japan .	his	49	Pickens	4	TRUE	Japan	65	FALSE	unk
bnn99	Mr. Stearn , who had been with the company more than 20 years and had been president since 1984 , will act as a consultant to Hudson General . His duties as chief executive will be assumed by Chairman Jay B. Langner .	His	143	Stearn	4	TRUE	Chairman Jay B. Langner	192	FALSE	unk
bnn100	But in August , First Atlanta National Bank introduced its Crown Account , a package designed to lure customers such as Ms. Driskill . She took her business to First Atlanta .	her	144	First Atlanta National Bank	16	FALSE	Driskill	124	TRUE	unk
bnn101	But in August , First Atlanta National Bank introduced its Crown Account , a package designed to lure customers such as Ms. Driskill . She took her business to First Atlanta .	She	135	First Atlanta	16	FALSE	Driskill	124	TRUE	unk
bnn102	But in August , First Atlanta National Bank introduced its Crown Account , a package designed to lure customers such as Ms. Driskill . `` I deserve something for my loyalty , '' she says .	she	178	First Atlanta National Bank	16	FALSE	Driskill	124	TRUE	unk
bnn103	But in August , First Atlanta National Bank introduced its Crown Account , a package designed to lure customers such as Ms. Driskill . All she had to do was put $ 15,000 in a certificate of deposit , or qualify for a $ 10,000 personal line of credit .	she	139	First Atlanta National Bank	16	FALSE	Driskill	124	TRUE	unk
bnn104	`` Varying age , geography and life-style differences create numerous sub-markets , '' Ms. MacDonald says . `` An active 55-year-old in Boca Raton may care more about Senior Olympic games , while a 75-year-old in Panama City may care more about a seminar on health , '' she says .	she	270	MacDonald	91	TRUE	Senior Olympic	167	FALSE	unk
bnn105	`` Varying age , geography and life-style differences create numerous sub-markets , '' Ms. MacDonald says . She says individual Barnett branches can add different benefits to their Seniors Partners package -- such as athletic activities or travel clubs -- to appeal to local market interests .	She	108	MacDonald	91	TRUE	Barnett	128	FALSE	unk
bnn106	In Washington , House aides said Mr. Phelan told congressmen that the collar , which banned program trades through the Big Board 's computer when the Dow Jones Industrial Average moved 50 points , did n't work well . He said that firms could get around the collar by executing trades manually .	He	217	Phelan	37	TRUE	Big Board	119	FALSE	unk
bnn107	In a post-hearing news conference , Mr. Phelan , who has publicly expressed concern about market volatility , said he told the House finance and telecommunications subcommittee that he would support the program-trading halt proposal `` providing the SEC would be comfortable with the language '' in a bill .	he	182	Phelan	40	TRUE	House	127	FALSE	unk
bnn108	In a post-hearing news conference , Mr. Phelan , who has publicly expressed concern about market volatility , said he told the House finance and telecommunications subcommittee that he would support the program-trading halt proposal `` providing the SEC would be comfortable with the language '' in a bill .	he	115	Phelan	40	TRUE	SEC	250	FALSE	unk
bnn109	Mr. Hammond worries that old age and the flightiness of youth will diminish the ranks of the East Anglian group that keeps the Aslacton bells pealing . History , after all , is not on his side .	his	184	Hammond	4	TRUE	Aslacton	127	FALSE	unk
bnn110	There have been only seven other times -- in 1929 , 1933 , 1961 , 1965 , 1968 , 1971 and 1972 -- when the yield on the S&P 500 dropped below 3 % for at least two consecutive months , Mr. Perritt found . And in each case , he says , a sharp drop in stock prices began within a year .	he	222	S	119	FALSE	Perritt	187	TRUE	unk
bnn111	But Mr. Boesel of T. Rowe Price , who also expects 12 % growth in dividends next year , does n't think it will help the overall market all that much . `` Having the dividend increases is a supportive element in the market outlook , but I do n't think it 's a main consideration , '' he says .	he	283	Boesel	8	TRUE	T. Rowe Price	18	FALSE	unk
bnn112	`` We flat ran out of financing resources , '' Mr. Jerritts said . As a result , he said NBI will focus on servicing its installed base of systems , trying to provide maintenance for other manufacturers and expanding its software business , using some of the applications it developed for its hardware .	he	81	Jerritts	51	TRUE	NBI	89	FALSE	unk
